,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
Left-Cerebral-White-Matter,-0.04850877848,-0.04740643249,0.320753783,0.007858584938,-0.0537166725,0.001669626215,-0.3871219355,-0.3259911612,0.2237802897,-0.298390664,-0.1793508463,-0.1395683902,-0.09551141818,-0.09721246643,-0.1334276081,0.339178562,-0.2534343508,-0.2784433712,-0.3013818446
Left-Lateral-Ventricle,-0.2595799345,0.3580972459,-0.477202575,-1.360071007,-0.7970456317,-0.7475520048,-0.4507255965,-0.2537258068,-0.4441595289,-0.2075939832,-0.7033453676,-0.6495910682,-0.01513688732,-0.8363153191,-1.230600928,-0.3073117452,-0.4130448881,-1.266886738,-0.5930954382
Left-Inf-Lat-Vent,0.1617374235,0.1348476784,0.9306627834,-0.6748157026,0.9084961373,-0.5790128473,0.2529979156,0.5079113192,-0.1549788102,0.4696076213,-0.4582760668,-0.3065921373,0.3974844078,-0.002850334489,-0.63969034,0.1671741739,-0.5621967298,0.3846290516,-0.06456382938
Left-Cerebellum-White-Matter,-0.8749422489,-0.7379776132,0.04723408671,-0.2966650104,-1.234056769,-1.241714108,-0.7138219886,-0.6517788159,-0.9378132371,-0.4561773399,0.9799746211,-1.609992211,0.3220973723,0.2043790102,-1.329524029,0.03987326455,-0.9086993034,-0.5169952443,-0.3271521327
Left-Cerebellum-Cortex,-0.8767066666,-0.7068946474,-0.1911847731,-0.1548350188,-1.087548356,-1.175333534,-0.6435819281,-0.5803722933,-0.9320312349,-0.4518031571,1.164205012,-1.485317733,0.3233930898,0.406710399,-1.206951745,-0.05807330469,-0.2716701264,0.1092229665,0.3476396472
Left-Thalamus-Proper,0.2600291421,1.508442325,1.124392473,1.574592823,-1.077014282,-0.4511501292,-0.1374526618,0.4991713328,-0.6686844136,3.720689094,4.543918545,-1.129879246,1.384456142,1.393115238,-0.3512079572,-0.1867119763,0.07809577382,-1.295089688,2.549784352
Left-Caudate,4.375105316,5.293422994,3.031972188,-1.676501129,-1.21798745,-0.2927033948,-0.6250201014,3.529580791,2.112325639,1.820747187,0.1553213322,1.27997411,5.196465866,0.8924459319,0.227669653,-0.2370980964,2.309319006,-0.6117936621,1.752666285
Left-Putamen,5.428082251,6.707946679,3.81513622,-0.1213345083,-0.5927387961,0.6578191852,-0.06413187146,5.410942029,2.837922406,3.836509969,0.4638465652,2.083051012,7.196125879,1.386587309,1.068447963,0.4516727684,5.030115024,1.45646909,1.968101189
Left-Pallidum,2.523566287,2.930723845,4.119810636,-0.03676215463,-1.102879941,1.141071527,-0.4049002607,3.875249738,1.63797165,3.666399537,0.3287293134,-0.3920998607,2.105673812,0.804495122,-0.4868388806,-0.2549006879,3.774731286,2.055178589,0.338327757
3rd-Ventricle,-0.7489219501,1.409648085,0.5639901633,2.295568474,-0.87455087,-0.08495354197,-0.5296781792,-0.108831704,-1.264752493,2.256817323,1.518615847,-1.247298889,0.567758031,-0.9997517162,-1.454542463,-0.5556112083,0.8680180097,-0.9014031207,1.166718509
4th-Ventricle,-0.6419868626,-0.3824592709,-0.1213780323,-0.3527485483,-0.6344029937,-0.8087332756,-0.4288308668,-0.4483415431,-1.139104805,0.05484220773,-0.2456776899,-1.14779225,0.1989506931,-0.4303550148,-1.333587345,-0.5701660401,-0.7695469755,-1.332223853,-0.1931633664
Brain-Stem,-0.782490159,-0.1888510511,0.4018011436,0.5290177384,-1.04874033,-0.9086920241,-0.6688152198,-0.1799002018,-1.317734113,2.430433912,1.076375562,-1.585422581,0.2300407516,-0.06812444581,-1.437471175,-1.024405848,-1.045456832,-1.771138243,-0.6912894708
Left-Hippocampus,0.1416282959,0.08309449023,0.8058219901,-0.4002284541,2.110742526,-0.6477670994,0.0218967323,0.9334052034,-0.3053892159,0.8035672965,-0.2164666347,-0.2465359821,0.7278214225,0.9835490005,-0.04077731698,0.3409366722,-0.3563726089,0.4050246848,-0.3584689382
Left-Amygdala,0.7988786687,1.116624764,1.13206957,-0.1510637239,1.599727584,-0.003216563717,0.005757754143,0.8189388104,-0.005197222547,2.483617515,-0.3591176873,0.671951839,1.30224175,0.4839198748,0.2036737618,0.1710176588,0.3989263926,1.150310416,2.338987829
CSF,-0.5544718602,0.6386306261,-0.4436825194,-0.3393650436,-0.9693034436,-0.8731861053,-0.5660982898,-0.460117612,-1.450599647,0.5388164311,1.232656555,-1.263750582,0.07153647508,-0.4772751338,-1.370852308,-0.4374483804,-0.4888893047,-1.847517153,1.004411572
Left-Accumbens-area,3.702340529,4.756515024,4.061596155,0.1583595616,-0.2897383708,1.388422136,0.2915092477,2.336453603,1.735078323,2.833615687,0.5658016208,2.443165034,4.330004249,0.8580702746,1.019578833,0.7710570678,4.172759636,0.8662857052,3.983545642
Left-VentralDC,-0.07309543736,0.9543906501,1.254497927,1.918082014,-0.7914279402,-0.001331240148,-0.6371447645,-0.2731540753,-0.9515359858,0.995701844,2.064536626,-1.293634315,0.6701857558,0.05277489408,-1.005909154,-0.7165336043,0.8330196729,-0.3203804261,-0.0360541548
Left-vessel,1.708173133,2.991049089,2.942417018,-0.1619171567,-0.1045354562,0.3386969646,-0.4152057469,1.255024499,1.114193926,2.278894385,-0.2304116504,0.6377324234,3.186480127,0.5386555523,-0.04840578042,0.4159899345,5.69701688,1.167648789,0.7763297111
Left-choroid-plexus,-0.05876081402,-0.1417074182,-0.01583258759,-1.795200023,-1.045518831,-0.8715845463,-0.1257412981,-0.4346987585,-1.147822866,-0.256701647,-0.1380373787,-1.287819584,-0.02018070572,0.1875387596,-1.782660237,-0.4148906563,-1.0005941,-1.803179493,-0.09710009401
Right-Cerebral-White-Matter,0.04352874313,-0.03306649128,0.3563886639,0.09451827132,-0.0661205997,0.01986201077,-0.4017248553,-0.3412270248,0.1778913988,-0.2945831191,-0.05776662793,-0.08405239057,-0.1041698211,-0.03980120718,-0.1276278448,0.2789934566,-0.1827922972,-0.3270451278,-0.2994577756
Right-Lateral-Ventricle,-0.2447353167,0.1395627332,-0.5586625967,-1.490828329,-0.7950727916,-0.8037633269,-0.4558673492,-0.234647147,-0.825961649,-0.2817860526,-0.7513433917,-0.7421955725,-0.04614465707,-0.8290827319,-1.216208057,-0.2642919266,-0.4176503973,-1.441130454,-0.5344948264
Right-Inf-Lat-Vent,0.170672717,0.396986211,1.096759432,-0.4211017352,1.647824643,-0.4330903444,-0.07063680047,0.3883221138,-0.2067800568,0.6848178221,-0.3796560239,0.07317467493,0.5144531239,-0.4741805314,-0.4725499865,-0.04986453214,-0.1106369045,0.7960474358,-0.02366684655
