,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
Left-Cerebellum-Cortex,-0.8767066666,-0.7068946474,-0.1911847731,-0.1548350188,-1.087548356,-1.175333534,-0.6435819281,-0.5803722933,-0.9320312349,-0.4518031571,1.164205012,-1.485317733,0.3233930898,0.406710399,-1.206951745,-0.05807330469,-0.2716701264,0.1092229665,0.3476396472
Left-Thalamus-Proper,0.2600291421,1.508442325,1.124392473,1.574592823,-1.077014282,-0.4511501292,-0.1374526618,0.4991713328,-0.6686844136,3.720689094,4.543918545,-1.129879246,1.384456142,1.393115238,-0.3512079572,-0.1867119763,0.07809577382,-1.295089688,2.549784352
Left-Caudate,4.375105316,5.293422994,3.031972188,-1.676501129,-1.21798745,-0.2927033948,-0.6250201014,3.529580791,2.112325639,1.820747187,0.1553213322,1.27997411,5.196465866,0.8924459319,0.227669653,-0.2370980964,2.309319006,-0.6117936621,1.752666285
Left-Putamen,5.428082251,6.707946679,3.81513622,-0.1213345083,-0.5927387961,0.6578191852,-0.06413187146,5.410942029,2.837922406,3.836509969,0.4638465652,2.083051012,7.196125879,1.386587309,1.068447963,0.4516727684,5.030115024,1.45646909,1.968101189
Left-Pallidum,2.523566287,2.930723845,4.119810636,-0.03676215463,-1.102879941,1.141071527,-0.4049002607,3.875249738,1.63797165,3.666399537,0.3287293134,-0.3920998607,2.105673812,0.804495122,-0.4868388806,-0.2549006879,3.774731286,2.055178589,0.338327757
Left-Hippocampus,0.1416282959,0.08309449023,0.8058219901,-0.4002284541,2.110742526,-0.6477670994,0.0218967323,0.9334052034,-0.3053892159,0.8035672965,-0.2164666347,-0.2465359821,0.7278214225,0.9835490005,-0.04077731698,0.3409366722,-0.3563726089,0.4050246848,-0.3584689382
Left-Amygdala,0.7988786687,1.116624764,1.13206957,-0.1510637239,1.599727584,-0.003216563717,0.005757754143,0.8189388104,-0.005197222547,2.483617515,-0.3591176873,0.671951839,1.30224175,0.4839198748,0.2036737618,0.1710176588,0.3989263926,1.150310416,2.338987829
Left-Accumbens-area,3.702340529,4.756515024,4.061596155,0.1583595616,-0.2897383708,1.388422136,0.2915092477,2.336453603,1.735078323,2.833615687,0.5658016208,2.443165034,4.330004249,0.8580702746,1.019578833,0.7710570678,4.172759636,0.8662857052,3.983545642
Left-VentralDC,-0.07309543736,0.9543906501,1.254497927,1.918082014,-0.7914279402,-0.001331240148,-0.6371447645,-0.2731540753,-0.9515359858,0.995701844,2.064536626,-1.293634315,0.6701857558,0.05277489408,-1.005909154,-0.7165336043,0.8330196729,-0.3203804261,-0.0360541548
Right-Cerebellum-Cortex,-0.9018586603,-0.6918324624,-0.1694789675,-0.03954146027,-1.111794591,-1.151699625,-0.6537495788,-0.5882213521,-0.8913031093,-0.4516961228,1.347737549,-1.445601925,0.2607231642,0.3645150164,-1.251636874,-0.07968594472,-0.2244384826,0.1647367632,0.3073432482
Right-Thalamus-Proper,0.3637229458,1.766224897,0.929775645,1.510458586,-1.063256285,-0.4376897036,-0.1326675054,0.5018165384,-0.7943668058,3.716401509,4.882322917,-1.109841113,1.43109496,1.536329063,-0.3056572027,-0.2676921482,0.3090653127,-1.188141582,2.800709173
Right-Caudate,4.20128107,5.012859667,2.976306493,-1.728721306,-1.217627376,-0.3795465648,-0.641396338,3.126096813,1.12294741,1.300747099,-0.06944815471,1.160946829,4.995084761,0.7886133223,0.2565680608,-0.1298829656,1.987211542,-0.8246701415,1.87182711
Right-Putamen,5.62775792,6.719547057,4.164073729,0.1060848734,-0.698269712,0.6570991913,-0.1346570816,5.102792669,2.90563323,3.830604704,0.5603469533,2.234162994,7.104317763,1.313591918,1.069711157,0.3182645943,4.766376243,1.61919868,2.010528402
Right-Pallidum,2.85397329,2.976558084,3.655303101,0.03366026598,-1.137804849,1.283698267,-0.4274772057,4.268547319,0.8736278638,3.407713813,0.2806368296,-0.2876856002,3.030992523,0.9180172336,-0.4052459248,-0.3381836447,3.433127115,1.99701512,0.4879156589
Right-Hippocampus,0.1725324779,0.1128106912,0.6894152328,-0.3194312463,1.967560485,-0.6234321355,-0.05121882819,0.8078199003,-0.4876447509,0.6252852174,-0.1134802469,-0.235879882,0.7708929159,0.9811974526,-0.05661419813,0.1036434408,-0.1736327391,0.4506809558,-0.4562892894
Right-Amygdala,0.854657597,1.069929658,1.064845714,-0.09968808044,1.494603329,-0.02394967053,-0.1277657081,0.7563458998,-0.5080016475,2.214489885,-0.4238503214,0.8337941858,1.293232038,0.4802694216,0.1035383866,0.01571995749,1.502243485,1.015498802,2.249036977
Right-Accumbens-area,3.33302643,4.113739749,3.829855978,0.1187725085,-0.2668077883,1.332137507,-0.001852363975,2.711094937,0.8016197904,2.799587005,0.4325095517,2.095364105,3.93368559,0.8450378663,0.8841267116,0.4207929523,5.585418806,0.9542970555,3.9771172
Right-VentralDC,-0.04744013706,1.077700358,1.18261179,1.909246091,-0.8875707361,0.02159053803,-0.6338219547,-0.2319373282,-0.9863346757,1.402300607,2.166729771,-1.285345004,0.6835352448,0.06285894135,-0.9857826319,-0.6395882939,0.9701878459,-0.2878101777,-0.0009541125775
