,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
Left-Cerebellum-Cortex,-0.01969135944,-0.4479735842,-0.492243227,-0.1047474916,-0.2715730125,-0.1515085485,-0.700978128,-0.6183757506,1.274013799,-0.4721112304,1.350854586,-0.5077874803,0.2778818199,0.3600795347,0.5147473007,-0.1051355881,-0.2521986421,0.5706362583,0.3138071336
Left-Thalamus-Proper,-0.6353069097,-0.08695070243,0.5192016747,1.766540089,-0.3874358956,-0.7205596739,-0.2060276687,0.4906628813,-0.7021708173,3.721393445,4.906396173,-0.6786393817,1.373610962,1.507184112,-0.698645109,-0.3258422854,0.1709687158,-0.5576673773,2.656547587
Left-Caudate,-0.1592596725,1.142337314,3.795154538,-1.742622688,0.643480332,-0.4636363286,-0.6677514977,3.463850392,-0.1933048798,1.633676062,0.03797276794,-0.7442741086,5.399590355,0.8504958367,-0.7266871008,-0.1547925509,2.230325144,-0.9409151008,1.997341091
Left-Putamen,-0.1132803229,0.1500142193,4.000661835,0.01425614433,-0.2176188365,-0.6392933281,-0.1814655937,5.248270954,-0.4855758561,3.794332178,0.5562236223,0.2379355321,7.384487717,1.321931849,-0.616783212,0.2913435169,4.531065712,-1.032545312,1.908349584
Left-Pallidum,-0.2265578863,-0.07829598477,2.343834986,0.03450725539,0.05891350463,-0.7676515619,-0.4854141973,4.079129518,-0.648741214,3.499874118,0.336424241,-0.6570490027,2.599886952,0.6762506695,-0.5531990172,-0.4218968992,2.741729963,-0.8781375903,0.01609231385
Left-Hippocampus,-0.4931234296,-0.436176896,0.4848059959,-0.4284067421,-0.5191852781,-0.1228698047,-0.08354758538,0.8780798637,-0.06529450082,0.6542777033,-0.1796426315,-0.6312425488,0.7661905008,0.8350769076,-0.5306051825,0.08502951505,-0.2100360776,-0.1111045372,-0.5509082275
Left-Amygdala,-0.3812218109,-0.3364351028,0.9439790125,-0.2753417569,-0.2093463657,-0.7302701199,-0.1428037821,0.7482859504,-0.2493127159,2.173807267,-0.437634742,-0.749215907,1.346268123,0.4005300949,-0.9285066837,-0.01225568264,1.161758306,-1.044955605,2.201338402
Left-Accumbens-area,-0.08868113511,0.7028896781,3.200988176,0.3534958258,0.2890377754,-0.6019982522,0.02006225619,2.703655924,-0.5766377901,2.949057087,0.5393016509,-0.759440743,4.584058377,0.9833256496,-0.7035687536,0.508410096,5.79098522,-1.136479245,4.416681488
Left-VentralDC,-0.4564622519,-0.4986834612,0.7409137218,1.81918061,-0.1705308251,-0.0674017141,-0.7023101498,-0.315611327,-0.5666092832,1.065305782,2.214116989,-0.6647735439,0.6830676113,-0.03463386853,-0.7777245765,-0.7203047309,0.9041071987,-0.8641680592,-0.09922216539
Right-Cerebellum-Cortex,-0.4087300964,-0.8662254929,-0.4857716031,-0.2252933146,0.4836384242,1.062124689,-0.7008540943,-0.6172830675,0.3341081069,-0.4786041277,1.183450679,0.2080464473,0.3078139287,0.3770554179,1.065792161,-0.07476276391,-0.3006621094,0.6030050815,0.3404822653
