,D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Left-Cerebral-White-Matter,-0.1801505322,0.3416690147,0.2022534943,-0.01338082522,-0.2659428547,-0.04893891962,-0.3163102848,-0.2790365636,-0.2646516031,-0.2675446639,-0.1185635105,0.016741847,-0.1367669933,-0.1258492035,-0.2766802972,0.1958666302,-0.2320904801,0.05635655002,-0.4085623298
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Left-Lateral-Ventricle,-0.2085599996,0.4066130064,0.4175684415,-1.420133096,0.09305665707,-0.3230206873,-0.4247481835,-0.1800289138,-0.1833904342,-0.1779554857,-0.7053504321,-0.4226735787,0.05075586405,-0.7689357493,-0.2698705495,-0.2084774716,-0.3322392129,-0.1801526794,-0.4759289418
Left-Inf-Lat-Vent,-0.1415495988,-0.2542004182,0.6795784481,-0.6713592176,-0.5409384075,-0.4113235597,0.03092155857,0.2129735527,-0.1653432292,0.2201982962,-0.3273384183,-0.6626941799,0.3628082266,0.1164237656,-0.5868477832,-0.08151908852,-0.5948041338,-0.482890943,-0.3863981857
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Left-Cerebellum-White-Matter,-0.4252066527,-0.315326474,-0.4675949813,-0.4089264565,-0.4866816224,-0.5089236484,-0.7675538206,-0.6789347733,0.8630361904,-0.4540199126,0.9892138212,-0.6661502194,0.2725138604,0.07457740789,0.4224646877,-0.1847852167,-0.8967747826,0.1262870578,-0.4668752174
Left-Cerebellum-Cortex,-0.01969135944,-0.4479735842,-0.492243227,-0.1047474916,-0.2715730125,-0.1515085485,-0.700978128,-0.6183757506,1.274013799,-0.4721112304,1.350854586,-0.5077874803,0.2778818199,0.3600795347,0.5147473007,-0.1051355881,-0.2521986421,0.5706362583,0.3138071336
Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Left-Thalamus-Proper,-0.6353069097,-0.08695070243,0.5192016747,1.766540089,-0.3874358956,-0.7205596739,-0.2060276687,0.4906628813,-0.7021708173,3.721393445,4.906396173,-0.6786393817,1.373610962,1.507184112,-0.698645109,-0.3258422854,0.1709687158,-0.5576673773,2.656547587
Left-Caudate,-0.1592596725,1.142337314,3.795154538,-1.742622688,0.643480332,-0.4636363286,-0.6677514977,3.463850392,-0.1933048798,1.633676062,0.03797276794,-0.7442741086,5.399590355,0.8504958367,-0.7266871008,-0.1547925509,2.230325144,-0.9409151008,1.997341091
