Coefficient,Raw_P,Test,Corrected_P,Significant
desikan_D1,1.8602820300243408e-07,Wilcoxon signed-rank,2.9454465475385396e-07,True
desikan_D2,5.74301453690445e-29,Wilcoxon signed-rank,2.182345524023691e-28,True
desikan_DAT,2.8931911757971786e-31,Wilcoxon signed-rank,1.3742658085036598e-30,True
desikan_NET,0.4311007888868241,Wilcoxon signed-rank,0.4550508327138699,False
desikan_5HT1A,5.950147307839153e-38,Wilcoxon signed-rank,1.1305279884894392e-36,True
desikan_5HT1B,2.2160835829630807e-05,Wilcoxon signed-rank,3.2388913904845026e-05,True
desikan_5HT2A,0.47356533543975865,Wilcoxon signed-rank,0.47356533543975865,False
desikan_5HT4,0.0015825787961457939,Wilcoxon signed-rank,0.002004599808451339,True
desikan_5HT6,4.562499313258489e-15,Wilcoxon signed-rank,9.631942994656811e-15,True
desikan_5HTT,1.3092693308260216e-08,Wilcoxon signed-rank,2.2614652077904008e-08,True
desikan_a4b2,0.17812920521697817,Wilcoxon signed-rank,0.19908558230132853,False
desikan_M1,2.4923249891452048e-31,Wilcoxon signed-rank,1.3742658085036598e-30,True
desikan_vAChT,7.529674078592827e-28,Wilcoxon signed-rank,2.3843967915543953e-27,True
desikan_NMDA,0.10237058105669698,Wilcoxon signed-rank,0.12156506500482768,False
desikan_mGluR5,1.6001126721459604e-23,Wilcoxon signed-rank,3.800267596346656e-23,True
desikan_GABAA/BZ,0.000507876760058918,Wilcoxon signed-rank,0.0006892613172228174,True
desikan_H3,9.001198385271232e-32,Wilcoxon signed-rank,8.551138466007671e-31,True
desikan_CB1,7.518829593873907e-15,Wilcoxon signed-rank,1.4285776228360422e-14,True
desikan_MOR,3.409201667711606e-24,Wilcoxon signed-rank,9.253547383788645e-24,True
