Coefficient,Raw_P,Test,Higher Mean,Corrected_P,Significant
desikan_D1,1.0315349048410591e-10,Welch's t-test,AD has higher mean ↑,1.9599163191980126e-09,True
desikan_D2,1.5112271719343927e-94,Welch's t-test,AD has higher mean ↑,2.871331626675346e-93,True
desikan_DAT,1.0351676339757198e-70,Welch's t-test,CN has higher mean ↓,1.9668185045538676e-69,True
desikan_NET,0.1531244327171795,Welch's t-test,CN has higher mean ↓,1.0,False
desikan_5HT1A,3.699238020412934e-157,Welch's t-test,CN has higher mean ↓,7.028552238784574e-156,True
desikan_5HT1B,0.0906242704755658,Welch's t-test,AD has higher mean ↑,1.0,False
desikan_5HT2A,3.312954462232877e-26,Welch's t-test,AD has higher mean ↑,6.294613478242467e-25,True
desikan_5HT4,0.007148188778663749,Welch's t-test,CN has higher mean ↓,0.13581558679461123,False
desikan_5HT6,1.3965855451490816e-54,Welch's t-test,AD has higher mean ↑,2.653512535783255e-53,True
desikan_5HTT,8.996426778324884e-25,Mann-Whitney U,CN has higher mean ↓,1.7093210878817278e-23,True
desikan_a4b2,0.1707570401815792,Welch's t-test,AD has higher mean ↑,1.0,False
desikan_M1,8.325674687411158e-108,Welch's t-test,CN has higher mean ↓,1.58187819060812e-106,True
desikan_vAChT,2.736208643508157e-47,Welch's t-test,CN has higher mean ↓,5.198796422665498e-46,True
desikan_NMDA,1.0949558430014304e-07,Welch's t-test,CN has higher mean ↓,2.080416101702718e-06,True
desikan_mGluR5,7.907258638731446e-62,Welch's t-test,AD has higher mean ↑,1.5023791413589748e-60,True
desikan_GABAA/BZ,0.004282902449603282,Welch's t-test,CN has higher mean ↓,0.08137514654246235,False
desikan_H3,1.498500776777227e-137,Welch's t-test,AD has higher mean ↑,2.847151475876731e-136,True
desikan_CB1,4.4572862384351785e-18,Welch's t-test,CN has higher mean ↓,8.468843853026839e-17,True
desikan_MOR,7.275754501038247e-83,Welch's t-test,CN has higher mean ↓,1.382393355197267e-81,True
