Coefficient,Raw_P,Test,Higher Mean,Corrected_P,Significant
destrieux_D1,1.822506086742087e-44,Welch's t-test,AD has higher mean ↑,3.462761564809965e-43,True
destrieux_D2,7.498294759204807e-140,Mann-Whitney U,AD has higher mean ↑,1.4246760042489132e-138,True
destrieux_DAT,1.2442687536662463e-153,Welch's t-test,CN has higher mean ↓,2.364110631965868e-152,True
destrieux_NET,1.5993077734873453e-19,Welch's t-test,AD has higher mean ↑,3.038684769625956e-18,True
destrieux_5HT1A,1.8314456121263754e-141,Welch's t-test,CN has higher mean ↓,3.479746663040113e-140,True
destrieux_5HT1B,2.285320059508391e-56,Welch's t-test,AD has higher mean ↑,4.342108113065943e-55,True
destrieux_5HT2A,3.4107942778556585e-07,Welch's t-test,AD has higher mean ↑,6.480509127925751e-06,True
destrieux_5HT4,0.16516278480248436,Welch's t-test,CN has higher mean ↓,1.0,False
destrieux_5HT6,1.9034593638272301e-31,Welch's t-test,AD has higher mean ↑,3.616572791271737e-30,True
destrieux_5HTT,7.69129747251412e-61,Welch's t-test,CN has higher mean ↓,1.461346519777683e-59,True
destrieux_a4b2,0.05245789280654821,Welch's t-test,CN has higher mean ↓,0.996699963324416,False
destrieux_M1,9.39010091540206e-151,Welch's t-test,CN has higher mean ↓,1.7841191739263913e-149,True
destrieux_vAChT,3.49880128411201e-83,Welch's t-test,CN has higher mean ↓,6.647722439812818e-82,True
destrieux_NMDA,0.04490815104001438,Welch's t-test,AD has higher mean ↑,0.8532548697602732,False
destrieux_mGluR5,9.61496428816425e-49,Welch's t-test,AD has higher mean ↑,1.8268432147512076e-47,True
destrieux_GABAA/BZ,3.136802329817426e-10,Welch's t-test,AD has higher mean ↑,5.959924426653109e-09,True
destrieux_H3,1.8153603544910714e-129,Welch's t-test,AD has higher mean ↑,3.4491846735330356e-128,True
destrieux_CB1,2.281573304762803e-06,Welch's t-test,CN has higher mean ↓,4.334989279049326e-05,True
destrieux_MOR,7.036438217218002e-85,Mann-Whitney U,CN has higher mean ↓,1.3369232612714205e-83,True
