Coefficient,Raw_P,Test,Higher Mean,Corrected_P,Significant
flipped_desikan_D1,0.0007413919708207685,Welch's t-test,CN has higher mean ↓,0.014086447445594601,True
flipped_desikan_D2,6.602702472565006e-52,Welch's t-test,AD has higher mean ↑,1.254513469787351e-50,True
flipped_desikan_DAT,0.5308006375179652,Welch's t-test,CN has higher mean ↓,1.0,False
flipped_desikan_NET,0.0007923217160511384,Welch's t-test,CN has higher mean ↓,0.01505411260497163,True
flipped_desikan_5HT1A,2.038686996187256e-14,Welch's t-test,AD has higher mean ↑,3.8735052927557866e-13,True
flipped_desikan_5HT1B,5.27387026168888e-41,Welch's t-test,CN has higher mean ↓,1.0020353497208871e-39,True
flipped_desikan_5HT2A,5.278016211938891e-65,Welch's t-test,AD has higher mean ↑,1.0028230802683893e-63,True
flipped_desikan_5HT4,5.46905469848911e-53,Welch's t-test,AD has higher mean ↑,1.0391203927129308e-51,True
flipped_desikan_5HT6,0.3480560892959968,Welch's t-test,AD has higher mean ↑,1.0,False
flipped_desikan_5HTT,2.7432916734096753e-127,Mann-Whitney U,CN has higher mean ↓,5.212254179478383e-126,True
flipped_desikan_a4b2,1.931889285800089e-164,Mann-Whitney U,AD has higher mean ↑,3.670589643020169e-163,True
flipped_desikan_M1,5.015402065691281e-43,Welch's t-test,AD has higher mean ↑,9.529263924813435e-42,True
flipped_desikan_vAChT,0.0003682975131292143,Welch's t-test,CN has higher mean ↓,0.006997652749455072,True
flipped_desikan_NMDA,5.621460866891989e-76,Welch's t-test,CN has higher mean ↓,1.068077564709478e-74,True
flipped_desikan_mGluR5,0.007059074807227091,Welch's t-test,CN has higher mean ↓,0.13412242133731472,False
flipped_desikan_GABAA/BZ,0.0028908416490570354,Welch's t-test,CN has higher mean ↓,0.05492599133208367,False
flipped_desikan_H3,2.770368747748991e-112,Welch's t-test,AD has higher mean ↑,5.2637006207230825e-111,True
flipped_desikan_CB1,0.1314808359842595,Welch's t-test,AD has higher mean ↑,1.0,False
flipped_desikan_MOR,1.765449835518671e-163,Welch's t-test,CN has higher mean ↓,3.3543546874854746e-162,True
