Coefficient,Raw_P,Test,Higher Mean,Corrected_P,Significant
flipped_destrieux_D1,0.00034694513412444243,Student's t-test,CN has higher mean ↓,0.006591957548364407,True
flipped_destrieux_D2,3.703576553407834e-31,Welch's t-test,AD has higher mean ↑,7.036795451474884e-30,True
flipped_destrieux_DAT,3.5385242106882953e-07,Welch's t-test,CN has higher mean ↓,6.723196000307761e-06,True
flipped_destrieux_NET,1.980067281736406e-05,Welch's t-test,AD has higher mean ↑,0.00037621278352991717,True
flipped_destrieux_5HT1A,0.003042519095781653,Welch's t-test,AD has higher mean ↑,0.05780786281985141,False
flipped_destrieux_5HT1B,1.1864949650642396e-72,Welch's t-test,CN has higher mean ↓,2.2543404336220554e-71,True
flipped_destrieux_5HT2A,1.405706871072709e-11,Welch's t-test,AD has higher mean ↑,2.6708430550381474e-10,True
flipped_destrieux_5HT4,9.723412453951742e-68,Mann-Whitney U,AD has higher mean ↑,1.847448366250831e-66,True
flipped_destrieux_5HT6,9.540619249476219e-47,Student's t-test,AD has higher mean ↑,1.8127176574004814e-45,True
flipped_destrieux_5HTT,1.1808978625428593e-132,Mann-Whitney U,CN has higher mean ↓,2.2437059388314326e-131,True
flipped_destrieux_a4b2,3.683842520423137e-152,Mann-Whitney U,AD has higher mean ↑,6.999300788803961e-151,True
flipped_destrieux_M1,9.862003469542845e-79,Welch's t-test,AD has higher mean ↑,1.8737806592131408e-77,True
flipped_destrieux_vAChT,0.5984204922386053,Mann-Whitney U,AD has higher mean ↑,1.0,False
flipped_destrieux_NMDA,1.094794421520165e-92,Welch's t-test,CN has higher mean ↓,2.0801094008883135e-91,True
flipped_destrieux_mGluR5,1.4661212967198546e-15,Welch's t-test,AD has higher mean ↑,2.7856304637677237e-14,True
flipped_destrieux_GABAA/BZ,0.22152801828750793,Welch's t-test,CN has higher mean ↓,1.0,False
flipped_destrieux_H3,1.9806861325641596e-77,Welch's t-test,AD has higher mean ↑,3.763303651871903e-76,True
flipped_destrieux_CB1,5.119313381454135e-40,Welch's t-test,CN has higher mean ↓,9.726695424762858e-39,True
flipped_destrieux_MOR,5.0024718419537334e-144,Welch's t-test,CN has higher mean ↓,9.504696499712093e-143,True
